Date,Open,High,Low,Close,Adj Close,Volume
2022-06-22,75.500000,76.250000,75.500000,75.699997,75.699997,4180300
2022-06-23,76.300003,76.669998,75.769997,76.489998,76.489998,3614000
2022-06-24,76.779999,78.029999,76.570000,77.940002,77.940002,6541300
2022-06-27,77.629997,78.320000,77.339996,78.010002,78.010002,5836600
2022-06-28,78.099998,78.239998,76.940002,77.160004,77.160004,4216300
2022-06-29,77.349998,78.150002,77.180000,77.959999,77.959999,4533300
2022-06-30,77.599998,78.110001,77.190002,77.860001,77.860001,4205000
2022-07-01,77.970001,78.680000,77.699997,78.570000,78.570000,4210600
2022-07-05,78.550003,79.000000,77.800003,78.870003,78.870003,5144400
2022-07-06,78.570000,78.860001,78.099998,78.370003,78.370003,3105500
2022-07-07,78.239998,78.720001,77.610001,78.610001,78.610001,4356500
2022-07-08,78.150002,78.809998,77.860001,78.129997,78.129997,4156400
2022-07-11,77.919998,78.379997,77.610001,77.790001,77.790001,3047500
2022-07-12,77.900002,78.209999,76.400002,76.540001,76.540001,6602000
2022-07-13,76.059998,76.550003,75.790001,75.959999,75.959999,4946500
2022-07-14,75.650002,76.440002,75.379997,76.239998,76.239998,3252200
2022-07-15,76.410004,77.410004,76.230003,77.389999,77.389999,5725300
2022-07-18,77.580002,78.070000,76.879997,76.989998,76.989998,5757800
2022-07-19,77.400002,78.709999,77.180000,78.629997,78.629997,5736900
2022-07-20,78.830002,79.379997,78.349998,79.300003,79.300003,4270400
2022-07-21,79.349998,79.529999,79.099998,79.489998,79.489998,3479900
2022-07-22,79.529999,79.529999,78.889999,79.230003,79.230003,2977600
2022-07-25,79.650002,79.980003,78.779999,79.650002,79.650002,5055500
2022-07-26,79.900002,79.949997,79.070000,79.459999,79.459999,3561000
2022-07-27,79.599998,80.000000,79.300003,79.790001,79.790001,5012700
2022-07-28,79.790001,79.790001,79.339996,79.510002,79.510002,4550100
2022-07-29,79.419998,80.239998,79.110001,79.949997,79.949997,3859700
2022-08-01,79.970001,80.309998,79.470001,80.080002,80.080002,3215100
2022-08-02,79.949997,80.349998,79.169998,79.320000,79.320000,4300400
2022-08-03,79.540001,80.709999,79.500000,80.589996,80.589996,6732300
2022-08-04,80.650002,81.309998,80.599998,80.660004,80.660004,3666200
2022-08-05,80.180000,80.650002,80.029999,80.489998,80.489998,2385000
2022-08-08,80.580002,81.050003,80.580002,81.000000,81.000000,7409800
2022-08-09,81.099998,81.239998,80.410004,80.589996,80.589996,4687500
2022-08-10,81.139999,81.220001,80.489998,80.910004,80.910004,5314400
2022-08-11,81.000000,81.129997,80.500000,80.510002,80.510002,2629900
2022-08-12,80.750000,80.949997,80.660004,80.790001,80.790001,5823000
2022-08-15,80.599998,80.800003,80.379997,80.730003,80.730003,4121300
2022-08-16,80.809998,81.169998,80.550003,80.919998,80.919998,5647400
2022-08-17,80.760002,80.910004,79.809998,80.529999,80.529999,7245500
2022-08-18,80.709999,80.750000,80.230003,80.440002,80.440002,3259900
2022-08-19,80.330002,81.500000,79.970001,80.269997,80.269997,4688400
2022-08-22,79.830002,80.070000,79.610001,79.760002,79.760002,3716400
2022-08-23,79.529999,79.769997,79.300003,79.339996,79.339996,2821300
2022-08-24,79.360001,79.730003,79.129997,79.279999,79.279999,3474200
2022-08-25,79.500000,79.519997,78.320000,79.070000,79.070000,4480900
2022-08-26,79.419998,79.500000,78.580002,78.629997,78.629997,5149400
2022-08-29,78.550003,79.080002,78.500000,78.750000,78.750000,3656800
2022-08-30,78.830002,78.940002,78.470001,78.620003,78.620003,4111600
2022-08-31,78.980003,79.139999,78.470001,78.489998,78.489998,4219800
2022-09-01,78.209999,79.000000,78.099998,78.550003,78.550003,4867400
2022-09-02,78.500000,78.559998,77.360001,77.529999,77.529999,4330600
2022-09-06,77.589996,77.599998,76.669998,76.839996,76.839996,6637700
2022-09-07,76.879997,77.860001,76.769997,77.720001,77.720001,3830200
2022-09-08,77.620003,77.690002,77.000000,77.389999,77.389999,6199200
2022-09-09,77.570000,78.580002,77.370003,78.510002,78.510002,5829500
2022-09-12,78.750000,78.919998,77.949997,78.129997,78.129997,4798500
2022-09-13,77.489998,78.040001,76.639999,76.760002,76.760002,5873400
2022-09-14,77.000000,77.139999,76.040001,76.599998,76.599998,7488700
2022-09-15,76.500000,77.220001,76.309998,76.830002,76.830002,5475800
2022-09-16,76.709999,77.070000,75.779999,76.019997,76.019997,18972800
2022-09-19,75.849998,76.279999,75.510002,75.940002,75.940002,5836500
2022-09-20,76.000000,76.150002,75.000000,75.040001,75.040001,4836800
2022-09-21,75.180000,76.139999,74.830002,75.320000,75.320000,5319800
2022-09-22,75.309998,77.230003,75.180000,77.029999,77.029999,8426000
2022-09-23,76.589996,76.660004,74.820000,74.949997,74.949997,8176700
2022-09-26,74.839996,75.320000,74.250000,74.330002,74.330002,5573100
2022-09-27,74.699997,75.330002,74.470001,74.860001,74.860001,6325200
2022-09-28,74.860001,75.720001,74.419998,75.389999,75.389999,7529300
2022-09-29,75.190002,75.360001,74.330002,74.870003,74.870003,5977600
2022-09-30,74.900002,75.300003,74.220001,74.339996,74.339996,9498200
2022-10-03,74.410004,74.800003,74.110001,74.360001,74.360001,4561900
2022-10-04,74.709999,75.379997,74.559998,75.000000,75.000000,9470300
2022-10-05,74.839996,75.000000,73.830002,74.110001,74.110001,7543700
2022-10-06,74.089996,74.389999,73.650002,73.830002,73.830002,5820200
2022-10-07,73.589996,73.730003,73.040001,73.349998,73.349998,4208200
2022-10-10,73.349998,74.110001,73.279999,73.750000,73.750000,4283000
2022-10-11,73.599998,74.019997,73.250000,73.550003,73.550003,5381500
2022-10-12,73.540001,73.650002,73.169998,73.500000,73.500000,4096700
2022-10-13,72.919998,73.889999,72.410004,73.120003,73.120003,6169100
2022-10-14,73.440002,73.660004,72.080002,72.129997,72.129997,5140400
2022-10-17,72.800003,72.930000,71.709999,71.760002,71.760002,14494600
2022-10-18,72.230003,72.500000,72.029999,72.260002,72.260002,5305700
2022-10-19,72.010002,72.470001,71.790001,72.209999,72.209999,4602600
2022-10-20,72.239998,73.830002,72.239998,73.309998,73.309998,5179000
2022-10-21,72.930000,73.169998,72.430000,72.709999,72.709999,4371500
2022-10-24,72.830002,72.830002,71.889999,72.510002,72.510002,4495100
2022-10-25,72.730003,72.989998,72.440002,72.500000,72.500000,6583200
2022-10-26,72.839996,73.040001,72.360001,72.480003,72.480003,6084700
2022-10-27,72.360001,72.830002,72.050003,72.500000,72.500000,4538200
2022-10-28,72.529999,73.050003,72.320000,72.849998,72.849998,7212400
2022-10-31,72.930000,73.250000,72.400002,72.800003,72.800003,6632400
2022-11-01,73.260002,74.010002,73.220001,73.309998,73.309998,5806700
2022-11-02,73.860001,73.959999,72.610001,72.660004,72.660004,5528000
